Internal ID;Name;PE  Rubro Estado Finan. Codigo;PE Rubro Estado Finan. Catalogo;PE Rubro Estado Finan. Reporte;PE Rubro Estado Finan. Totalizador;PE Rubro Estado Finan. Sub Codigos
1;(-) Provisiones para Creditos;1F0121;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR BANCOS Y FINANCIERAS - INDIVIDUAL;10;F;
2;(-) Provisiones para creditos directos;2F2306;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR BANCOS Y FINANCIERAS - INDIVIDUAL;9;F;
3;(Aumento) disminucion de cuentas por cobrar comerciales y otras cuentas por cobrar;3D0835;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR DIVERSAS - INDIVIDUAL;;F;
4;(Aumento) disminucion de cuentas por cobrar comerciales y otras cuentas por cobrar;3G0835;SUPERINTENDENCIA DEL MERCADO DE VALORES - FONDOS DE INVERSION;;F;
5;(Aumento) Disminucion de otros activos no financieros;3D0818;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR DIVERSAS - INDIVIDUAL;;F;
6;(Aumento) Disminucion de otros activos no financieros;3G0818;SUPERINTENDENCIA DEL MERCADO DE VALORES - FONDOS DE INVERSION;;F;
7;(Aumento) Disminucion en Activos Biologicos;3D0813;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR DIVERSAS - INDIVIDUAL;;F;
8;(Aumento) Disminucion en Activos Biologicos;3G0813;SUPERINTENDENCIA DEL MERCADO DE VALORES - FONDOS DE INVERSION;;F;
9;(Aumento) Disminucion en Inventarios;3D0804;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR DIVERSAS - INDIVIDUAL;;F;
10;(Aumento) Disminucion en Inventarios;3G0804;SUPERINTENDENCIA DEL MERCADO DE VALORES - FONDOS DE INVERSION;;F;
11;"(Ganancia) perdida en venta de inversiones financieras e inmuebles; inmuebles, muebles y equipos y operaciones discontinuas";3,00E+107;SUPERINTENDENCIA DEL MERCADO DE VALORES - SECTOR SEGUROS - INDIVIDUAL;;F;
12;#¿NOMBRE?;4C0120;SUPERINTENDENCIA DEL MERCADO DE VALORES - PATRIMONIO EN FIDEICOMISOS;;F;
13;#¿NOMBRE?;4C0220;SUPERINTENDENCIA DEL MERCADO DE VALORES - PATRIMONIO EN FIDEICOMISOS;;F;
14;- Inmuebles, Maquinaria y Equipo;4C0208;SUPERINTENDENCIA DEL MERCADO DE VALORES - PATRIMONIO EN FIDEICOMISOS;;F;
