Internal ID;Name;PE  Rubro Estado Finan. Codigo;PE Rubro Estado Finan. Catalogo;PE Rubro Estado Finan. Reporte;PE Rubro Estado Finan. Totalizador;PE Rubro Estado Finan. Sub Codigos
1;(-) Provisiones para Creditos;1F0121;3;10;F;
2;(-) Provisiones para creditos directos;2F2306;3;9;F;
3;(Aumento) disminucion de cuentas por cobrar comerciales y otras cuentas por cobrar;3D0835;1;;F;
4;(Aumento) disminucion de cuentas por cobrar comerciales y otras cuentas por cobrar;3G0835;6;;F;
5;(Aumento) Disminucion de otros activos no financieros;3D0818;1;;F;
6;(Aumento) Disminucion de otros activos no financieros;3G0818;6;;F;
7;(Aumento) Disminucion en Activos Biologicos;3D0813;1;;F;
8;(Aumento) Disminucion en Activos Biologicos;3G0813;6;;F;
9;(Aumento) Disminucion en Inventarios;3D0804;1;;F;
10;(Aumento) Disminucion en Inventarios;3G0804;6;;F;
11;"(Ganancia) perdida en venta de inversiones financieras e inmuebles; inmuebles, muebles y equipos y operaciones discontinuas";3E0107;2;;F;
12;- Activos Financieros disponibles para la Venta;4C0120;7;;F;
13;- Activos Financieros disponibles para la Venta;4C0220;7;;F;
14;- Inmuebles, Maquinaria y Equipo;4C0208;7;;F;
15;- Inmuebles, Maquinaria y Equipo;4C0108;7;;F;
16;A valor Razonable con Cambios en Resultados;1E0115;2;10;F;
17;A Vencimiento;1E0216;2;10;F;
18;A Vencimiento;1E0117;2;10;F;
19;Acciones de Inversion;1C0703;7;10;F;
20;Acciones de Inversion;1D0703;1;10;F;
21;Acciones de Inversion;1G0703;6;10;F;
22;Acciones en Tesoreria;1E0812;2;10;F;
23;Acciones en Tesoreria;4C0114;7;;F;
24;Acciones en Tesoreria;4C0214;7;;F;
25;Acciones Propias en Cartera;1554;5;10;F;
26;Acciones Propias en Cartera;1F3314;3;10;F;
27;Acciones Propias en Cartera;1D0711;1;10;F;
28;Acciones Propias en Cartera;1G0711;6;10;F;
29;ACTIVO INTANGIBLE DISTINTO DE LA PLUSVALIA;1F1907;3;10;F;
30;Activo no Corrientes Mantenidos para la Venta (neto);1E0223;2;10;F;
31;Activo por Impuesto a la Renta  Diferido;1E0219;2;10;F;
32;Activo por Impuesto a la Renta Diferido;1A0221;4;10;F;
33;Activo por Impuesto a la Renta y Participaciones Diferidos;1C0207;7;10;F;
34;Activo por Reservas Tecnicas a cargo de reaseguradoras;1E0125;2;10;F;
35;Activos  Intangibles (neto);1C0206;7;10;F;
36;Activos  Intangibles (neto);1A0206;4;10;F;
37;Activos  intangibles distintos  de la plusvalia;1G0206;6;10;F;
38;Activos  intangibles distintos  de la plusvalia;1D0206;1;10;F;
39;Activos Biologicos;1D0112;1;10;F;
40;Activos Biologicos;1C0216;7;10;F;
41;Activos Biologicos;1G0112;6;10;F;
42;Activos Biologicos;1C0112;7;10;F;
43;Activos Biologicos;1D0216;1;10;F;
44;Activos Biologicos;1G0216;6;10;F;
45;Activos concedidos en custodia o garantia;0500;5;10;F;
46;Activos en titulizacion, neto;1T0104;7;10;F;
47;Activos en titulizacion, neto;1T0201;7;10;F;
48;Activos Financieros al Valor Razonable con cambios en Ganancias y Perdidas;1C0110;7;10;F;
49;Activos Financieros Disponibles para la Venta;5A0210;4;;F;
50;Activos Financieros Disponibles para la Venta;1C0111;7;10;F;
51;Activos Financieros Disponibles para la Venta;1C0213;7;10;F;
52;Activos Financieros Disponibles para la Venta;5A0110;4;;F;
53;Activos Financieros mantenidos hasta el Vencimiento;1C0116;7;10;F;
54;Activos Financieros mantenidos hasta el Vencimiento;1C0215;7;10;F;
55;Activos Intangibles (Neto);1E0208;2;10;F;
56;Activos Intangibles distintos de la Plusvalia;1124;5;10;F;
57;Activos no Corrientes mantenidos para la Venta;1C0115;7;10;F;
58;ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA;1F1917;3;10;F;
59;Activos no corrientes o grupos de activos mantenidas para la Venta;2217;5;9;F;
